fact id,fact,explanation,recourse,uncertainty,fidelity,sparsity,exceptionality,validity,gen time,found
28,"[2, 1, 5, 1, 30, 8, 4, 0, 12, 2, 30, 9, 1, 0, 10, 0, 30, 4, 8, 0, 12, 0, 30, 8, 4, 0, 12, 1, 30, 2, 4, 0, 6, 0, -27, 3, 0]","[2, 3, 33, 1, 30, 7, 13, 0, 15, 10, 30, 1, 2, 0, 8, 8, 30, 6, 9, 0, 15, 5, 30, 4, 6, 0, 15, 13, 30, 9, 0, 0, 8, 0, -15, 3, 1]",,1,1,1,1,1,207.4043638706208,0
29,"[2, 3, 10, 0, 30, 3, 6, 0, 9, 4, 30, 3, 1, 0, 4, 0, 30, 4, 5, 0, 9, 0, 30, 1, 8, 0, 9, 3, 30, 5, 0, 0, 5, 1, -15, 3, 1]","[0, 1, 26, 6, 30, 1, 4, 0, 6, 10, 30, 1, 0, 0, 4, 0, 30, 10, 3, 0, 9, 0, 30, 0, 9, 0, 9, 6, 30, 3, 3, 0, 8, 0, -15, 3, 1]",,1,1,1,1,1,206.4758627414704,0
30,"[2, 4, 24, 0, 30, 5, 1, 0, 6, 2, 30, 4, 0, 0, 4, 5, 30, 6, 0, 0, 6, 0, 30, 1, 5, 0, 6, 2, 30, 4, 0, 0, 4, 1, -15, 3, 1]","[0, 3, 23, 0, 30, 6, 3, 0, 7, 10, 30, 5, 2, 0, 6, 2, 30, 4, 5, 0, 6, 0, 30, 7, 4, 0, 10, 5, 30, 4, 5, 0, 9, 0, -27, 3, 0]",,1,1,1,1,1,208.297708272934,0
31,"[2, 2, 1, 0, 30, 7, 3, 0, 10, 3, 30, 2, 0, 0, 2, 1, 30, 4, 6, 0, 10, 0, 30, 6, 4, 0, 10, 6, 30, 6, 0, 0, 6, 0, -27, 3, 0]","[0, 2, 36, 0, 30, 5, 5, 0, 9, 12, 30, 5, 3, 0, 8, 6, 30, 6, 4, 0, 15, 12, 30, 3, 4, 0, 7, 7, 30, 6, 0, 0, 7, 1, -15, 3, 1]",,1,1,1,1,1,202.5009953975677,0
32,"[2, 3, 23, 1, 30, 6, 7, 0, 13, 0, 30, 6, 0, 0, 6, 5, 30, 13, 0, 0, 13, 0, 30, 5, 8, 0, 13, 2, 30, 5, 1, 0, 6, 1, -15, 3, 1]","[2, 3, 31, 3, 30, 6, 13, 0, 3, 5, 30, 11, 0, 0, 6, 0, 30, 6, 10, 0, 13, 2, 30, 10, 7, 0, 14, 3, 30, 2, 4, 0, 6, 1, -15, 3, 1]",,1,1,1,1,1,206.560358285904,0
33,"[2, 2, 23, 0, 30, 3, 2, 0, 5, 2, 30, 4, 0, 0, 4, 6, 30, 4, 1, 0, 5, 0, 30, 0, 5, 0, 5, 1, 30, 2, 0, 0, 2, 1, -15, 3, 1]","[0, 4, 6, 1, 30, 2, 8, 0, 10, 16, 30, 6, 0, 0, 6, 15, 30, 11, 0, 0, 14, 0, 30, 2, 11, 0, 14, 3, 30, 3, 3, 0, 4, 1, -15, 3, 1]",,1,1,1,1,1,208.0853292942047,0
34,"[2, 0, 27, 1, 30, 4, 11, 0, 15, 4, 30, 2, 0, 0, 2, 0, 30, 3, 12, 0, 15, 3, 30, 5, 10, 0, 15, 3, 30, 6, 0, 0, 6, 1, -15, 3, 1]","[2, 4, 30, 8, 30, 9, 1, 0, 11, 1, 30, 6, 1, 0, 8, 0, 30, 12, 11, 0, 11, 12, 30, 0, 3, 0, 13, 1, 30, 6, 5, 0, 8, 1, -15, 3, 1]",,1,1,1,1,1,204.14261174201965,0
35,"[2, 3, 24, 0, 30, 5, 1, 0, 6, 3, 30, 4, 0, 0, 4, 6, 30, 6, 0, 0, 6, 0, 30, 1, 5, 0, 6, 2, 30, 4, 0, 0, 4, 1, -15, 3, 1]","[2, 2, 32, 0, 30, 11, 2, 0, 5, 6, 30, 10, 5, 0, 4, 8, 30, 1, 8, 0, 15, 0, 30, 10, 4, 0, 8, 0, 30, 8, 2, 0, 4, 1, -15, 3, 1]",,1,1,1,1,1,201.8925268650055,0
36,"[2, 1, 25, 2, 30, 6, 8, 0, 14, 3, 30, 6, 0, 0, 6, 0, 30, 6, 8, 0, 14, 1, 30, 5, 9, 0, 14, 4, 30, 5, 1, 0, 6, 1, -15, 3, 1]","[2, 1, 37, 6, 30, 5, 10, 0, 13, 17, 30, 5, 1, 0, 8, 0, 30, 5, 9, 0, 3, 1, 30, 10, 10, 0, 13, 3, 30, 2, 0, 0, 9, 1, -15, 3, 1]",,1,1,1,1,1,207.93887639045715,0
37,"[2, 1, 9, 1, 30, 6, 5, 0, 11, 4, 30, 6, 0, 0, 6, 4, 30, 10, 1, 0, 11, 0, 30, 3, 8, 0, 11, 4, 30, 3, 1, 0, 4, 0, -27, 3, 0]","[2, 4, 1, 0, 30, 9, 9, 0, 13, 0, 30, 6, 0, 0, 6, 3, 30, 9, 3, 0, 14, 6, 30, 6, 8, 0, 14, 4, 30, 4, 0, 0, 4, 1, -15, 3, 1]",,1,1,1,1,1,208.1823058128357,0
38,"[2, 0, 14, 1, 30, 6, 3, 0, 9, 2, 30, 6, 0, 0, 6, 0, 30, 3, 6, 0, 9, 3, 30, 9, 0, 0, 9, 3, 30, 4, 0, 0, 4, 1, -15, 3, 1]","[2, 1, 22, 0, 30, 5, 0, 0, 9, 3, 30, 2, 0, 0, 2, 1, 30, 10, 0, 0, 9, 8, 30, 3, 0, 0, 5, 18, 30, 4, 0, 0, 5, 1, -15, 3, 1]",,1,1,1,1,1,209.2132601737976,0
39,"[2, 1, 16, 0, 30, 5, 4, 0, 9, 4, 30, 8, 0, 0, 8, 0, 30, 4, 5, 0, 9, 0, 30, 1, 8, 0, 9, 0, 30, 4, 0, 0, 4, 1, -15, 3, 1]","[2, 3, 42, 4, 30, 10, 5, 0, 14, 17, 30, 2, 0, 0, 2, 11, 30, 4, 9, 0, 11, 2, 30, 9, 1, 0, 9, 7, 30, 3, 0, 0, 3, 1, -15, 3, 1]",,1,1,1,1,1,201.1481304168701,0
40,"[2, 0, 27, 1, 30, 4, 11, 0, 15, 3, 30, 2, 0, 0, 2, 0, 30, 8, 7, 0, 15, 2, 30, 6, 9, 0, 15, 3, 30, 6, 0, 0, 6, 1, -15, 3, 1]","[2, 3, 26, 0, 30, 7, 10, 0, 9, 12, 30, 4, 0, 0, 8, 11, 30, 4, 8, 0, 15, 13, 30, 11, 7, 0, 9, 12, 30, 5, 6, 0, 4, 1, -15, 3, 1]",,1,1,1,1,1,209.48382019996643,0
41,"[2, 1, 13, 3, 30, 6, 1, 0, 7, 0, 30, 4, 0, 0, 4, 2, 30, 6, 1, 0, 7, 7, 30, 7, 0, 0, 7, 3, 30, 4, 0, 0, 4, 1, -15, 3, 1]","[2, 0, 45, 5, 30, 9, 3, 0, 7, 16, 30, 8, 0, 0, 8, 0, 30, 2, 13, 0, 6, 1, 30, 1, 8, 0, 10, 0, 30, 4, 3, 0, 4, 1, -15, 3, 1]",,1,1,1,1,1,205.3527610301972,0
42,"[2, 3, 23, 0, 30, 3, 2, 0, 5, 2, 30, 4, 0, 0, 4, 10, 30, 5, 0, 0, 5, 0, 30, 0, 5, 0, 5, 1, 30, 1, 1, 0, 2, 1, -15, 3, 1]","[2, 3, 6, 0, 30, 2, 11, 0, 12, 4, 30, 7, 0, 0, 0, 0, 30, 2, 9, 0, 11, 0, 30, 3, 5, 0, 7, 8, 30, 5, 0, 0, 3, 1, -15, 3, 1]",,1,1,1,1,1,204.45802998542783,0
43,"[2, 1, 11, 0, 30, 4, 8, 0, 12, 1, 30, 4, 0, 0, 4, 0, 30, 7, 5, 0, 12, 4, 30, 5, 7, 0, 12, 5, 30, 4, 0, 0, 4, 1, -15, 3, 1]","[2, 3, 23, 1, 30, 8, 11, 0, 15, 13, 30, 9, 0, 0, 12, 0, 30, 9, 8, 0, 13, 7, 30, 5, 2, 0, 10, 5, 30, 5, 1, 0, 1, 1, -27, 3, 1]",,1,1,1,1,1,204.2136206626892,0
44,"[2, 1, 9, 0, 30, 7, 4, 0, 11, 4, 30, 6, 0, 0, 6, 2, 30, 11, 0, 0, 11, 0, 30, 3, 8, 0, 11, 5, 30, 3, 1, 0, 4, 0, -27, 3, 0]","[2, 2, 34, 0, 30, 1, 6, 0, 5, 6, 30, 0, 0, 0, 6, 0, 30, 3, 2, 0, 9, 7, 30, 2, 0, 0, 9, 0, 30, 4, 0, 0, 8, 1, -15, 3, 1]",,1,1,1,1,1,202.3331410884857,0
45,"[2, 1, 23, 0, 30, 2, 3, 0, 5, 2, 30, 4, 0, 0, 4, 9, 30, 4, 1, 0, 5, 0, 30, 0, 5, 0, 5, 1, 30, 2, 0, 0, 2, 1, -15, 3, 1]","[2, 1, 25, 5, 30, 6, 2, 0, 11, 4, 30, 6, 1, 0, 8, 0, 30, 11, 11, 0, 14, 3, 30, 7, 7, 0, 14, 18, 30, 6, 2, 0, 6, 1, -15, 3, 1]",,1,1,1,1,1,210.9301373958588,0
46,"[2, 3, 23, 0, 30, 2, 3, 0, 5, 2, 30, 4, 0, 0, 4, 3, 30, 3, 2, 0, 5, 0, 30, 0, 5, 0, 5, 1, 30, 2, 0, 0, 2, 1, -15, 3, 1]","[2, 3, 44, 1, 30, 6, 9, 0, 3, 2, 30, 12, 2, 0, 6, 0, 30, 2, 7, 0, 4, 3, 30, 9, 8, 0, 8, 3, 30, 2, 0, 0, 4, 1, -15, 3, 0]",,1,1,1,1,1,207.14306378364563,0
47,"[2, 4, 24, 0, 30, 4, 2, 0, 6, 2, 30, 4, 0, 0, 4, 5, 30, 6, 0, 0, 6, 0, 30, 1, 5, 0, 6, 1, 30, 4, 0, 0, 4, 1, -15, 3, 1]","[2, 4, 18, 6, 30, 2, 11, 0, 2, 15, 30, 10, 4, 0, 8, 2, 30, 3, 3, 0, 11, 14, 30, 8, 6, 0, 5, 13, 30, 0, 5, 0, 4, 1, -27, 3, 1]",,1,1,1,1,1,202.44073486328125,0
48,"[2, 4, 14, 0, 30, 6, 3, 0, 9, 1, 30, 6, 0, 0, 6, 1, 30, 5, 4, 0, 9, 4, 30, 9, 0, 0, 9, 2, 30, 4, 0, 0, 4, 1, -15, 3, 1]","[2, 1, 23, 0, 30, 5, 11, 0, 2, 14, 30, 10, 1, 0, 4, 5, 30, 13, 0, 0, 4, 5, 30, 0, 12, 0, 5, 13, 30, 9, 0, 0, 0, 1, -27, 3, 1]",,1,1,1,1,1,210.501916885376,0
49,"[2, 2, 25, 2, 30, 6, 8, 0, 14, 4, 30, 6, 0, 0, 6, 0, 30, 7, 7, 0, 14, 1, 30, 5, 9, 0, 14, 4, 30, 5, 1, 0, 6, 1, -15, 3, 1]","[2, 1, 47, 5, 30, 5, 3, 0, 5, 1, 30, 7, 1, 0, 2, 2, 30, 11, 9, 0, 10, 6, 30, 2, 2, 0, 6, 12, 30, 5, 0, 0, 6, 0, -27, 3, 0]",,1,1,1,1,1,205.71344017982483,0
50,"[2, 2, 11, 0, 30, 4, 8, 0, 12, 1, 30, 4, 0, 0, 4, 0, 30, 8, 4, 0, 12, 3, 30, 6, 6, 0, 12, 5, 30, 4, 0, 0, 4, 1, -15, 3, 1]","[2, 2, 17, 6, 30, 2, 0, 0, 9, 1, 30, 4, 0, 0, 4, 9, 30, 13, 10, 0, 9, 0, 30, 5, 6, 0, 9, 2, 30, 8, 0, 0, 9, 1, -15, 3, 1]",,1,1,1,1,1,207.6222140789032,0
