fact id,fact,explanation,recourse,uncertainty,fidelity,sparsity,exceptionality,validity,gen_time,found
43,"[2, 1, 11, 0, 30, 4, 8, 0, 12, 1, 30, 4, 0, 0, 4, 0, 30, 7, 5, 0, 12, 4, 30, 5, 7, 0, 12, 5, 30, 4, 0, 0, 4, 1, -15, 3, 1]","[0, 1, 46, 7, 30, 8, 2, 0, 10, 11, 30, 5, 2, 0, 6, 1, 30, 6, 8, 0, 13, 8, 30, 2, 0, 0, 2, 4, 30, 4, 3, 0, 3, 1, -15, 3, 1]",,1,1,1,1,1,909.045354127884,0
44,"[2, 1, 9, 0, 30, 7, 4, 0, 11, 4, 30, 6, 0, 0, 6, 2, 30, 11, 0, 0, 11, 0, 30, 3, 8, 0, 11, 5, 30, 3, 1, 0, 4, 0, -27, 3, 0]","[0, 2, 35, 0, 30, 0, 8, 0, 4, 11, 30, 5, 3, 0, 12, 8, 30, 6, 3, 0, 6, 9, 30, 5, 2, 0, 5, 11, 30, 9, 3, 0, 6, 1, -15, 3, 0]",,1,1,1,1,1,901.396921634674,0
44,"[2, 1, 9, 0, 30, 7, 4, 0, 11, 4, 30, 6, 0, 0, 6, 2, 30, 11, 0, 0, 11, 0, 30, 3, 8, 0, 11, 5, 30, 3, 1, 0, 4, 0, -27, 3, 0]","[2, 0, 10, 4, 30, 3, 11, 0, 9, 1, 30, 2, 0, 0, 0, 6, 30, 0, 2, 0, 3, 11, 30, 3, 5, 0, 7, 16, 30, 4, 4, 0, 8, 1, -27, 3, 0]",,1,1,1,1,1,901.396921634674,0
44,"[2, 1, 9, 0, 30, 7, 4, 0, 11, 4, 30, 6, 0, 0, 6, 2, 30, 11, 0, 0, 11, 0, 30, 3, 8, 0, 11, 5, 30, 3, 1, 0, 4, 0, -27, 3, 0]","[2, 3, 46, 2, 30, 2, 7, 0, 15, 19, 30, 8, 1, 0, 6, 0, 30, 2, 1, 0, 13, 2, 30, 11, 13, 0, 15, 15, 30, 6, 5, 0, 4, 0, -15, 3, 1]",,1,1,1,1,1,901.396921634674,0
44,"[2, 1, 9, 0, 30, 7, 4, 0, 11, 4, 30, 6, 0, 0, 6, 2, 30, 11, 0, 0, 11, 0, 30, 3, 8, 0, 11, 5, 30, 3, 1, 0, 4, 0, -27, 3, 0]","[2, 1, 14, 5, 30, 7, 6, 0, 13, 12, 30, 6, 4, 0, 4, 2, 30, 3, 10, 0, 8, 12, 30, 4, 1, 0, 6, 3, 30, 1, 1, 0, 9, 0, -27, 3, 0]",,1,1,1,1,1,901.396921634674,0
44,"[2, 1, 9, 0, 30, 7, 4, 0, 11, 4, 30, 6, 0, 0, 6, 2, 30, 11, 0, 0, 11, 0, 30, 3, 8, 0, 11, 5, 30, 3, 1, 0, 4, 0, -27, 3, 0]","[0, 3, 16, 1, 30, 11, 13, 0, 3, 18, 30, 9, 2, 0, 8, 7, 30, 11, 5, 0, 12, 0, 30, 7, 8, 0, 4, 13, 30, 0, 2, 0, 2, 1, -15, 3, 0]",,1,1,1,1,1,901.396921634674,0
45,"[2, 1, 23, 0, 30, 2, 3, 0, 5, 2, 30, 4, 0, 0, 4, 9, 30, 4, 1, 0, 5, 0, 30, 0, 5, 0, 5, 1, 30, 2, 0, 0, 2, 1, -15, 3, 1]","[2, 2, 42, 3, 30, 0, 13, 0, 15, 2, 30, 1, 0, 0, 10, 10, 30, 3, 13, 0, 15, 13, 30, 7, 13, 0, 4, 9, 30, 1, 5, 0, 9, 1, -27, 3, 1]",,1,1,1,1,1,903.2514791488647,0
45,"[2, 1, 23, 0, 30, 2, 3, 0, 5, 2, 30, 4, 0, 0, 4, 9, 30, 4, 1, 0, 5, 0, 30, 0, 5, 0, 5, 1, 30, 2, 0, 0, 2, 1, -15, 3, 1]","[0, 1, 21, 0, 30, 11, 10, 0, 3, 16, 30, 1, 4, 0, 2, 3, 30, 4, 9, 0, 13, 12, 30, 9, 8, 0, 13, 4, 30, 5, 2, 0, 5, 0, -15, 3, 1]",,1,1,1,1,1,903.2514791488647,0
45,"[2, 1, 23, 0, 30, 2, 3, 0, 5, 2, 30, 4, 0, 0, 4, 9, 30, 4, 1, 0, 5, 0, 30, 0, 5, 0, 5, 1, 30, 2, 0, 0, 2, 1, -15, 3, 1]","[2, 4, 19, 7, 30, 4, 0, 0, 6, 1, 30, 5, 2, 0, 4, 8, 30, 12, 0, 0, 4, 2, 30, 6, 3, 0, 11, 16, 30, 0, 4, 0, 4, 1, -15, 3, 1]",,1,1,1,1,1,903.2514791488647,0
45,"[2, 1, 23, 0, 30, 2, 3, 0, 5, 2, 30, 4, 0, 0, 4, 9, 30, 4, 1, 0, 5, 0, 30, 0, 5, 0, 5, 1, 30, 2, 0, 0, 2, 1, -15, 3, 1]","[0, 4, 28, 2, 30, 2, 2, 0, 9, 5, 30, 2, 5, 0, 6, 0, 30, 2, 11, 0, 5, 5, 30, 1, 6, 0, 7, 0, 30, 6, 3, 0, 6, 0, -15, 3, 0]",,1,1,1,1,1,903.2514791488647,0
