fact,explanation,gen_time
"[2, 3, 39, 0, 30, 4, 7, 0, 11, 0, 30, 5, 1, 0, 6, 0, 30, 4, 7, 0, 11, 0, 30, 5, 6, 0, 11, 13, 30, 5, 0, 0, 5, 1, -15, 3, 1, 1199]","[2, 2, 1, 0, 30, 4, 7, 0, 11, 0, 30, 5, 1, 0, 6, 0, 30, 4, 7, 0, 11, 0, 30, 5, 6, 0, 11, 13, 30, 5, 0, 0, 5, -15, 3, 1, 1199, 39]",485.716965675354
"[2, 4, 9, 1, 30, 3, 1, 0, 4, 0, 30, 2, 0, 0, 2, 0, 30, 0, 4, 0, 4, 2, 30, 4, 0, 0, 4, 1, 30, 1, 0, 0, 1, 0, -27, 3, 0, 279]","[2, 2, 1, 1, 30, 3, 1, 0, 4, 0, 30, 2, 0, 0, 2, 0, 30, 0, 4, 0, 4, 0, 30, 4, 0, 0, 4, 1, 30, 1, 0, 0, 1, -27, 3, 0, 279, 39]",486.3313045501709
"[2, 1, 34, 1, 30, 9, 0, 0, 9, 0, 30, 5, 3, 0, 8, 0, 30, 0, 9, 0, 9, 2, 30, 9, 0, 0, 9, 0, 30, 2, 4, 0, 6, 1, -15, 3, 1, 1039]","[2, 2, 1, 1, 30, 9, 0, 0, 9, 0, 30, 5, 3, 0, 8, 0, 30, 0, 9, 0, 9, 0, 30, 9, 0, 0, 9, 0, 30, 2, 4, 0, 6, -15, 3, 1, 1039, 39]",489.0140254497528
"[2, 2, 39, 0, 30, 0, 4, 0, 4, 2, 30, 2, 0, 0, 2, 0, 30, 1, 3, 0, 4, 0, 30, 1, 3, 0, 4, 13, 30, 1, 0, 0, 1, 1, -15, 3, 1, 1179]","[2, 2, 1, 0, 30, 0, 4, 0, 4, 2, 30, 2, 0, 0, 2, 0, 30, 1, 3, 0, 4, 0, 30, 1, 3, 0, 4, 13, 30, 1, 0, 0, 1, -15, 3, 1, 1179, 39]",487.51553893089294
"[2, 2, 23, 1, 30, 10, 3, 0, 13, 5, 30, 6, 0, 0, 6, 0, 30, 3, 10, 0, 13, 7, 30, 11, 2, 0, 13, 0, 30, 4, 2, 0, 6, 1, -15, 3, 1, 719]","[2, 2, 1, 1, 30, 10, 3, 0, 13, 5, 30, 6, 0, 0, 6, 0, 30, 3, 10, 0, 13, 7, 30, 11, 2, 0, 13, 0, 30, 4, 2, 0, 6, -15, 3, 1, 719, 39]",505.41618156433105
"[2, 2, 31, 0, 30, 1, 3, 0, 4, 1, 30, 4, 0, 0, 4, 0, 30, 1, 3, 0, 4, 6, 30, 4, 0, 0, 4, 0, 30, 0, 3, 0, 3, 1, -15, 3, 1, 939]","[2, 2, 1, 0, 30, 1, 3, 0, 4, 1, 30, 4, 0, 0, 4, 0, 30, 1, 3, 0, 4, 6, 30, 4, 0, 0, 4, 0, 30, 0, 3, 0, 3, -15, 3, 1, 939, 39]",531.5553448200226
"[2, 0, 26, 5, 30, 9, 0, 0, 9, 4, 30, 2, 2, 0, 4, 2, 30, 0, 9, 0, 9, 2, 30, 9, 0, 0, 9, 2, 30, 1, 2, 0, 3, 1, -15, 3, 1, 799]","[2, 2, 1, 4, 30, 14, 0, 0, 14, 0, 30, 5, 1, 0, 6, 0, 30, 3, 11, 0, 14, 5, 30, 14, 0, 0, 14, 0, 30, 3, 3, 0, 6, -15, 3, 1, 779, 39]",662.399834394455
"[2, 3, 27, 4, 30, 5, 0, 0, 5, 0, 30, 0, 0, 0, 0, 0, 30, 1, 4, 0, 5, 2, 30, 1, 4, 0, 5, 0, 30, 1, 3, 0, 4, 1, -15, 3, 1, 819]","[2, 2, 1, 4, 30, 5, 0, 0, 5, 0, 30, 0, 0, 0, 0, 0, 30, 1, 4, 0, 5, 2, 30, 1, 4, 0, 5, 0, 30, 1, 3, 0, 4, -15, 3, 1, 819, 39]",624.7987504005432
"[2, 1, 15, 0, 30, 2, 2, 0, 4, 0, 30, 6, 0, 0, 6, 0, 30, 2, 2, 0, 4, 4, 30, 3, 1, 0, 4, 0, 30, 1, 3, 0, 4, 1, -15, 3, 1, 459]","[2, 2, 1, 0, 30, 2, 2, 0, 4, 0, 30, 6, 0, 0, 6, 0, 30, 2, 2, 0, 4, 4, 30, 3, 1, 0, 4, 0, 30, 1, 3, 0, 4, -15, 3, 1, 459, 39]",769.9956877231598
"[2, 4, 13, 7, 30, 7, 0, 0, 7, 0, 30, 4, 0, 0, 4, 1, 30, 5, 2, 0, 7, 7, 30, 6, 1, 0, 7, 0, 30, 3, 1, 0, 4, 1, -15, 3, 1, 419]","[2, 2, 1, 7, 30, 7, 0, 0, 7, 0, 30, 4, 0, 0, 4, 1, 30, 5, 2, 0, 7, 5, 30, 6, 1, 0, 7, 0, 30, 3, 1, 0, 4, -15, 3, 1, 419, 39]",962.2518656253815
