0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
2,4,5,0,30,2,3,0,5,3,30,0,4,0,4,0,30,0,5,0,5,2,30,2,3,0,5,0,30,2,0,0,2,0,-27,3,0
2,2,9,0,30,1,3,0,4,2,30,2,0,0,2,0,30,0,4,0,4,0,30,1,3,0,4,1,30,1,0,0,1,0,-27,3,0
2,3,9,0,30,1,3,0,4,2,30,2,0,0,2,0,30,0,4,0,4,0,30,1,3,0,4,1,30,1,0,0,1,0,-27,3,0
2,1,13,1,30,6,1,0,7,0,30,4,0,0,4,2,30,5,2,0,7,8,30,5,2,0,7,4,30,4,0,0,4,1,-15,3,1
2,3,19,0,30,4,9,0,13,2,30,7,1,0,8,0,30,6,7,0,13,3,30,4,9,0,13,1,30,9,0,0,9,1,-15,3,1
2,4,19,0,30,4,9,0,13,2,30,7,1,0,8,0,30,6,7,0,13,3,30,4,9,0,13,1,30,9,0,0,9,1,-15,3,1
2,4,23,2,30,6,7,0,13,2,30,6,0,0,6,3,30,12,1,0,13,0,30,6,7,0,13,2,30,5,1,0,6,1,-15,3,1
2,0,25,4,30,6,8,0,14,4,30,6,0,0,6,0,30,8,6,0,14,1,30,5,9,0,14,5,30,5,1,0,6,1,-15,3,1
2,2,25,4,30,6,8,0,14,4,30,6,0,0,6,0,30,8,6,0,14,1,30,5,9,0,14,5,30,5,1,0,6,1,-15,3,1
2,3,25,4,30,6,8,0,14,4,30,6,0,0,6,0,30,8,6,0,14,1,30,5,9,0,14,5,30,5,1,0,6,1,-15,3,1
2,4,25,4,30,6,8,0,14,4,30,6,0,0,6,0,30,8,6,0,14,1,30,5,9,0,14,5,30,5,1,0,6,1,-15,3,1
2,4,31,7,30,7,5,0,12,4,30,8,0,0,8,3,30,10,2,0,12,0,30,3,9,0,12,0,30,3,3,0,6,1,-15,3,1
2,4,39,0,30,0,11,0,11,5,30,6,0,0,6,0,30,8,3,0,11,1,30,3,8,0,11,6,30,5,0,0,5,1,-15,3,1
2,4,4,4,30,7,1,0,8,5,30,4,0,0,4,0,30,1,7,0,8,0,30,4,4,0,8,0,30,3,1,0,4,0,-27,3,0
2,3,7,0,30,1,3,0,4,2,30,2,0,0,2,0,30,2,2,0,4,0,30,1,3,0,4,1,30,1,1,0,2,0,-27,3,0
2,4,7,0,30,1,3,0,4,2,30,2,0,0,2,0,30,2,2,0,4,0,30,1,3,0,4,1,30,1,1,0,2,0,-27,3,0
2,4,8,2,30,7,0,0,7,4,30,2,0,0,2,4,30,2,5,0,7,0,30,5,2,0,7,3,30,3,0,0,3,0,-27,3,0
2,1,25,1,30,9,5,0,14,2,30,6,0,0,6,0,30,10,4,0,14,1,30,5,9,0,14,4,30,5,1,0,6,1,-15,3,1
2,2,26,0,30,5,4,0,9,5,30,2,2,0,4,1,30,0,9,0,9,0,30,2,7,0,9,4,30,2,1,0,3,1,-15,3,1
2,4,26,0,30,5,4,0,9,5,30,2,2,0,4,1,30,0,9,0,9,0,30,2,7,0,9,4,30,2,1,0,3,1,-15,3,1
2,0,27,1,30,3,12,0,15,4,30,1,1,0,2,0,30,8,7,0,15,0,30,3,12,0,15,2,30,6,0,0,6,1,-15,3,1
2,3,32,2,30,7,2,0,9,4,30,2,0,0,2,0,30,7,2,0,9,0,30,2,7,0,9,4,30,2,0,0,2,1,-15,3,1
2,4,32,2,30,7,2,0,9,4,30,2,0,0,2,0,30,7,2,0,9,0,30,2,7,0,9,4,30,2,0,0,2,1,-15,3,1
2,0,5,0,30,4,1,0,5,3,30,2,2,0,4,3,30,0,5,0,5,0,30,1,4,0,5,0,30,0,2,0,2,0,-27,3,0
2,2,5,0,30,4,1,0,5,3,30,2,2,0,4,3,30,0,5,0,5,0,30,1,4,0,5,0,30,0,2,0,2,0,-27,3,0
2,3,5,0,30,4,1,0,5,3,30,2,2,0,4,3,30,0,5,0,5,0,30,1,4,0,5,0,30,0,2,0,2,0,-27,3,0
